Instrument,ICB Industry name,Rank
CCL.N,Consumer Discretionary,1
NCLH.N,Consumer Discretionary,2
BILI.OQ,Technology,3
NIO.N,Consumer Discretionary,4
PTCT.OQ,Health Care,5
DAL.N,Consumer Discretionary,6
GPS.N,Consumer Discretionary,7
CONN.OQ,Consumer Discretionary,8
UAL.OQ,Consumer Discretionary,9
CYTK.OQ,Health Care,10
CFLT.OQ,Technology,11
OPEN.OQ,Real Estate,12
LUV.N,Consumer Discretionary,13
WIX.OQ,Technology,14
MNDY.OQ,Technology,15
RCL.N,Consumer Discretionary,16
RDFN.OQ,Real Estate,17
SNDL.OQ,Health Care,18
IAC.OQ,Technology,19
PTON.OQ,Consumer Discretionary,20
ASND.OQ,Health Care,21
SAVE.N,Consumer Discretionary,22
LGND.OQ,Health Care,23
ARVN.OQ,Health Care,24
RIG.N,Energy,25
TRIP.OQ,Consumer Discretionary,26
VRM.OQ,Technology,27
RAD.N,Consumer Staples,28
LAUR.OQ,Consumer Discretionary,29
CHRS.OQ,Health Care,30
OIS.N,Energy,31
DK.N,Energy,32
PBF.N,Energy,33
MGM.N,Consumer Discretionary,34
LTCH.OQ,Industrials,35
CVI.N,Energy,36
ARAY.OQ,Health Care,37
SUM.N,Industrials,38
ARWR.OQ,Health Care,39
NKTR.OQ,Health Care,40
WFRD.OQ,Energy,41
BLZE.OQ,Technology,42
DCPH.OQ,Health Care,43
ETRN.N,Energy,44
NEWR.N,Technology,45
SPOT.N,Consumer Discretionary,46
WOOF.OQ,Consumer Discretionary,47
NOTV.OQ,Health Care,48
TLRY.OQ,Health Care,49
QRTEA.OQ,Consumer Discretionary,50
CRNC.OQ,Technology,51
SHO.N,Real Estate,52
SRRK.OQ,Health Care,53
TXG.OQ,Health Care,54
ATGE.N,Consumer Discretionary,55
FGEN.OQ,Health Care,56
DINO.N,Energy,57
ABNB.OQ,Consumer Discretionary,58
TOST.N,Technology,59
SKYW.OQ,Consumer Discretionary,60
TAL.N,Consumer Discretionary,61
ANGI.OQ,Consumer Discretionary,62
HOOD.OQ,Financials,63
ULCC.OQ,Consumer Discretionary,64
INFA.N,Technology,65
TDS.N,Telecommunications,66
STNE.OQ,Industrials,67
BYND.OQ,Consumer Staples,68
LYFT.OQ,Consumer Discretionary,69
BKNG.OQ,Consumer Discretionary,70
DAN.N,Consumer Discretionary,71
XRX.OQ,Technology,72
RXT.OQ,Technology,73
PARA.OQ,Consumer Discretionary,74
RNG.N,Technology,75
COMP.N,Real Estate,76
TRVG.OQ,Consumer Discretionary,77
RARE.OQ,Health Care,78
GH.OQ,Health Care,79
OSUR.OQ,Health Care,80
BIGC.OQ,Technology,81
ORIC.OQ,Health Care,82
MPLN.N,Health Care,83
TPC.N,Industrials,84
PAY.N,Industrials,85
LPSN.OQ,Technology,86
SHOP.N,Technology,87
LAZR.OQ,Consumer Discretionary,88
PEGA.OQ,Technology,89
YSG.N,Consumer Discretionary,90
BLUE.OQ,Health Care,91
FSLY.N,Technology,92
KC.OQ,Technology,93
NVTS.OQ,Technology,94
BCOV.OQ,Technology,95
FRG.OQ,Consumer Discretionary,96
PTVE.OQ,Industrials,97
ENVA.N,Financials,98
ASO.OQ,Consumer Discretionary,99
MTTR.OQ,Technology,100
HSC.N,Utilities,101
IOVA.OQ,Health Care,102
BIRD.OQ,Consumer Discretionary,103
TIGO.OQ,Telecommunications,104
FOLD.OQ,Health Care,105
VVI.N,Consumer Discretionary,106
AEVA.N,Technology,107
FTDR.OQ,Consumer Discretionary,108
HEP.N,Energy,109
CXW.N,Industrials,110
RVLV.N,Consumer Discretionary,111
KLTR.OQ,Telecommunications,112
PACK.N,Industrials,113
DOYU.OQ,Technology,114
VTRS.OQ,Health Care,115
KLR.N,Telecommunications,116
APLS.OQ,Health Care,117
BZUN.OQ,Technology,118
PARR.N,Energy,119
REPL.OQ,Health Care,120
UBER.N,Consumer Discretionary,121
NDLS.OQ,Consumer Discretionary,122
BFLY.N,Health Care,123
GVA.N,Industrials,124
RCKT.OQ,Health Care,125
BLFS.OQ,Health Care,126
BAND.OQ,Technology,127
NRDS.OQ,Technology,128
XPEV.N,Consumer Discretionary,129
LILA.OQ,Telecommunications,130
EXAS.OQ,Health Care,131
LVS.N,Consumer Discretionary,132
EEFT.OQ,Industrials,133
EVBG.OQ,Technology,134
BOOM.OQ,Energy,135
BKI.N,Technology,136
SYNH.OQ,Health Care,137
TROX.N,Basic Materials,138
TGH.N,Industrials,139
USM.N,Telecommunications,140
NTRA.OQ,Health Care,141
CROX.OQ,Consumer Discretionary,142
GDYN.OQ,Technology,143
FTCH.N,Consumer Discretionary,144
ICHR.OQ,Technology,145
GSL.N,Industrials,146
BNED.N,Consumer Discretionary,147
VRT.N,Technology,148
CC.N,Basic Materials,149
GEO.N,Real Estate,150
DTIL.OQ,Health Care,151
LOVE.OQ,Consumer Discretionary,152
JBLU.OQ,Consumer Discretionary,153
NVTA.N,Health Care,154
OMCL.OQ,Health Care,155
OKTA.OQ,Technology,156
SFIX.OQ,Consumer Discretionary,157
ALK.N,Consumer Discretionary,158
VRAY.OQ,Health Care,159
NRG.N,Utilities,160
NEXA.N,Basic Materials,161
MTW.N,Industrials,162
CDNA.OQ,Health Care,163
BJRI.OQ,Consumer Discretionary,164
REAL.OQ,Consumer Discretionary,165
OI.N,Industrials,166
GTH.OQ,Health Care,167
SHYF.OQ,Industrials,168
CME.OQ,Financials,169
SPNS.OQ,Technology,170
NS.N,Energy,171
RAPT.OQ,Health Care,172
WOW.N,Telecommunications,173
SMAR.N,Technology,174
SAM.N,Consumer Staples,175
FTI.N,Energy,176
COTY.N,Consumer Discretionary,177
GWRE.N,Technology,178
JYNT.OQ,Health Care,179
MDRX.OQ,Technology,180
HIBB.OQ,Consumer Discretionary,181
HSTM.OQ,Health Care,182
OEC.N,Basic Materials,183
LASR.OQ,Technology,184
PSNL.OQ,Health Care,185
LZB.N,Consumer Discretionary,186
TVTX.OQ,Health Care,187
CYRX.OQ,Industrials,188
VICR.OQ,Industrials,189
WBD.OQ,Consumer Discretionary,190
HY.N,Industrials,191
OLO.N,Technology,192
NWL.OQ,Consumer Discretionary,193
EGAN.OQ,Technology,194
HAYN.OQ,Basic Materials,195
AMEH.OQ,Health Care,196
ITRI.OQ,Industrials,197
WSC.OQ,Industrials,198
APP.OQ,Technology,199
CAL.N,Consumer Discretionary,200
NEO.OQ,Health Care,201
DXC.N,Technology,202
VLO.N,Energy,203
EBS.N,Health Care,204
VITL.OQ,Consumer Staples,205
TPX.N,Consumer Discretionary,206
HUYA.N,Technology,207
IP.N,Basic Materials,208
FIVN.OQ,Technology,209
ASTE.OQ,Industrials,210
MD.N,Health Care,211
PSX.N,Energy,212
SNOW.N,Technology,213
STZ.N,Consumer Staples,214
TEAM.OQ,Technology,215
GPRO.OQ,Consumer Discretionary,216
CHX.OQ,Energy,217
ICLR.OQ,Health Care,218
SEMR.N,Technology,219
CTRN.OQ,Consumer Discretionary,220
BL.OQ,Technology,221
VRNT.OQ,Technology,222
CLVT.N,Technology,223
BIG.N,Consumer Discretionary,224
ET.N,Energy,225
G.N,Industrials,226
MCS.N,Consumer Discretionary,227
YEXT.N,Technology,228
AFYA.OQ,Consumer Discretionary,229
VRTS.OQ,Financials,230
OPRA.OQ,Technology,231
IBM.N,Technology,232
GPP.OQ,Energy,233
BILL.N,Industrials,234
FLS.N,Industrials,235
EBAY.OQ,Consumer Discretionary,236
WWW.N,Consumer Discretionary,237
JBT.N,Industrials,238
QSI.OQ,Health Care,239
MEDP.OQ,Health Care,240
FDP.N,Consumer Staples,241
DXCM.OQ,Health Care,242
TRU.N,Industrials,243
CAAP.N,Industrials,244
MASI.OQ,Health Care,245
PAA.OQ,Energy,246
MLAB.OQ,Industrials,247
DNB.N,Technology,248
AVTR.N,Health Care,249
NOV.N,Energy,250
WES.N,Energy,251
WK.N,Technology,252
VCYT.OQ,Health Care,253
MYGN.OQ,Health Care,254
ZS.OQ,Technology,255
GRPN.OQ,Technology,256
WKME.OQ,Technology,257
H.N,Consumer Discretionary,258
YELP.N,Technology,259
ALV.N,Consumer Discretionary,260
FWONA.OQ,Consumer Discretionary,261
NCR.N,Technology,262
XNCR.OQ,Health Care,263
CRL.N,Health Care,264
FVRR.N,Technology,265
AGIO.OQ,Health Care,266
AKRO.OQ,Health Care,267
PHR.N,Health Care,268
RBLX.N,Consumer Discretionary,269
PLTR.N,Technology,270
SEER.OQ,Health Care,271
ANIP.OQ,Health Care,272
ALT.OQ,Health Care,273
MYPS.OQ,Consumer Discretionary,274
INST.N,Consumer Discretionary,275
GPN.N,Industrials,276
FLGT.OQ,Health Care,277
NTAP.OQ,Technology,278
HUBS.N,Technology,279
BMRN.OQ,Health Care,280
TEX.N,Industrials,281
PDD.OQ,Technology,282
SNCY.OQ,Consumer Discretionary,283
HQY.OQ,Health Care,284
WBA.OQ,Consumer Staples,285
DDOG.OQ,Technology,286
MIDD.OQ,Industrials,287
SKY.N,Consumer Discretionary,288
LCUT.OQ,Consumer Discretionary,289
PAGP.OQ,Energy,290
SPR.N,Industrials,291
AMCX.OQ,Consumer Discretionary,292
SCVL.OQ,Consumer Discretionary,293
TSE.N,Industrials,294
WMG.OQ,Consumer Discretionary,295
PRO.N,Technology,296
CAMT.OQ,Technology,297
KSS.N,Consumer Discretionary,298
GEL.N,Energy,299
AXTA.N,Industrials,300
GME.N,Consumer Discretionary,301
LKQ.OQ,Consumer Discretionary,302
MPC.N,Energy,303
EPAM.N,Technology,304
MKC.N,Consumer Staples,305
EXPI.OQ,Real Estate,306
CAT.N,Industrials,307
ENR.N,Consumer Staples,308
ALRM.OQ,Technology,309
ITRN.OQ,Industrials,310
VRSK.OQ,Industrials,311
GT.OQ,Consumer Discretionary,312
VFC.N,Consumer Discretionary,313
LEG.N,Consumer Discretionary,314
DAC.N,Industrials,315
METC.OQ,Energy,316
ALIT.N,Industrials,317
STKS.OQ,Consumer Discretionary,318
CPLP.OQ,Industrials,319
GDOT.N,Industrials,320
PPG.N,Industrials,321
MPLX.N,Energy,322
CNNE.N,Financials,323
CLB.N,Energy,324
