Instrument,ICB Industry name,Rank
GME.N,Consumer Discretionary,1
FSLY.N,Technology,2
DDOG.OQ,Technology,3
NFE.OQ,Energy,4
OPK.OQ,Health Care,5
PTON.OQ,Consumer Discretionary,6
SHOP.N,Technology,7
ALTO.OQ,Basic Materials,8
PINS.N,Technology,9
ZM.OQ,Technology,10
SONO.OQ,Consumer Discretionary,11
NET.N,Technology,12
DOCU.OQ,Technology,13
FVRR.N,Technology,14
SQ.N,Industrials,15
CVNA.N,Consumer Discretionary,16
KRNT.OQ,Industrials,17
PYPL.OQ,Industrials,18
ZS.OQ,Technology,19
MLKN.OQ,Consumer Discretionary,20
CONN.OQ,Consumer Discretionary,21
BL.OQ,Technology,22
KR.N,Consumer Staples,23
BYND.OQ,Consumer Staples,24
TDOC.N,Health Care,25
CHGG.N,Consumer Discretionary,26
RNG.N,Technology,27
MDB.OQ,Technology,28
PODD.OQ,Health Care,29
NVTA.N,Health Care,30
TRVN.OQ,Health Care,31
ZG.OQ,Real Estate,32
ETSY.OQ,Consumer Discretionary,33
PRTS.OQ,Consumer Discretionary,34
CDAY.N,Technology,35
NVDA.OQ,Technology,36
OPCH.OQ,Health Care,37
DAVA.N,Technology,38
BPMC.OQ,Health Care,39
AMD.OQ,Technology,40
IDXX.OQ,Health Care,41
QIWI.OQ,Industrials,42
HUBS.N,Technology,43
KLAC.OQ,Technology,44
GPRO.OQ,Consumer Discretionary,45
FATE.OQ,Health Care,46
MRCY.OQ,Industrials,47
PACB.OQ,Health Care,48
YNDX.OQ,Technology,49
CPB.N,Consumer Staples,50
TEAM.OQ,Technology,51
ADPT.OQ,Health Care,52
PLUG.OQ,Energy,53
OKTA.OQ,Technology,54
IIIV.OQ,Industrials,55
NVCR.OQ,Health Care,56
TGT.N,Consumer Discretionary,57
AMAT.OQ,Technology,58
UPWK.OQ,Technology,59
MAN.N,Industrials,60
NKE.N,Consumer Discretionary,61
BILL.N,Industrials,62
WEN.OQ,Consumer Discretionary,63
QRTEA.OQ,Consumer Discretionary,64
DRI.N,Consumer Discretionary,65
INTC.OQ,Technology,66
GDOT.N,Industrials,67
EA.OQ,Consumer Discretionary,68
LULU.OQ,Consumer Discretionary,69
TWST.OQ,Health Care,70
MASI.OQ,Health Care,71
CEVA.OQ,Technology,72
SMAR.N,Technology,73
SPWR.OQ,Energy,74
ENPH.OQ,Energy,75
GH.OQ,Health Care,76
UPS.N,Industrials,77
SPLK.OQ,Technology,78
UCTT.OQ,Technology,79
QTWO.N,Technology,80
DXCM.OQ,Health Care,81
MRVL.OQ,Technology,82
BGS.N,Consumer Staples,83
BYD.N,Consumer Discretionary,84
MLAB.OQ,Industrials,85
THS.N,Consumer Staples,86
NOW.N,Technology,87
PD.N,Technology,88
NTRA.OQ,Health Care,89
EBAY.OQ,Consumer Discretionary,90
VIR.OQ,Health Care,91
AXTI.OQ,Technology,92
DDS.N,Consumer Discretionary,93
WGO.N,Consumer Discretionary,94
PCTY.OQ,Industrials,95
INTU.OQ,Technology,96
MDGL.OQ,Health Care,97
VERI.OQ,Technology,98
MPWR.OQ,Technology,99
ORA.N,Utilities,100
POOL.OQ,Consumer Discretionary,101
FRPT.OQ,Consumer Staples,102
COHR.OQ,Technology,103
INSP.N,Health Care,104
NCR.N,Technology,105
JKHY.OQ,Industrials,106
OLLI.OQ,Consumer Discretionary,107
XERS.OQ,Health Care,108
TRUP.OQ,Financials,109
THO.N,Consumer Discretionary,110
COST.OQ,Consumer Discretionary,111
ALLO.OQ,Health Care,112
OPRA.OQ,Technology,113
NFLX.OQ,Consumer Discretionary,114
EXAS.OQ,Health Care,115
SJM.N,Consumer Staples,116
AORT.N,Health Care,117
AYX.N,Technology,118
VEEV.N,Health Care,119
ADBE.OQ,Technology,120
TWLO.N,Technology,121
VREX.OQ,Health Care,122
HAS.OQ,Consumer Discretionary,123
OLN.N,Basic Materials,124
JBL.N,Technology,125
MELI.OQ,Consumer Discretionary,126
STRL.OQ,Industrials,127
APTV.N,Consumer Discretionary,128
ELAN.N,Health Care,129
HOLX.OQ,Health Care,130
PINC.OQ,Health Care,131
JHG.N,Financials,132
CRWD.OQ,Technology,133
CLF.N,Basic Materials,134
