Instrument,ICB Industry name,Rank
META.OQ,Technology,1
CVX.N,Energy,2
PFE.N,Health Care,3
GOOGL.OQ,Technology,4
AAPL.OQ,Technology,5
XOM.N,Energy,6
OXY.N,Energy,7
MSFT.OQ,Technology,8
TECK.N,Basic Materials,9
VLO.N,Energy,10
DINO.N,Energy,11
PSX.N,Energy,12
COP.N,Energy,13
CSCO.OQ,Telecommunications,14
EQT.N,Energy,15
MOS.N,Basic Materials,16
MPC.N,Energy,17
BABA.N,Consumer Discretionary,18
V.N,Industrials,19
NUE.N,Basic Materials,20
CHK.OQ,Energy,21
JNJ.N,Health Care,22
CTRA.N,Energy,23
CRM.N,Technology,24
AMD.OQ,Technology,25
PBF.N,Energy,26
TME.N,Consumer Discretionary,27
VTRS.OQ,Health Care,28
UPS.N,Industrials,29
QCOM.OQ,Technology,30
TLRY.OQ,Health Care,31
CPE.N,Energy,32
GEVO.OQ,Energy,33
BTU.N,Energy,34
BIG.N,Consumer Discretionary,35
DISH.OQ,Telecommunications,36
WBA.OQ,Consumer Staples,37
CIVI.N,Energy,38
MVST.OQ,Industrials,39
ADBE.OQ,Technology,40
FANG.OQ,Energy,41
OVV.N,Energy,42
AMRN.OQ,Health Care,43
MU.OQ,Technology,44
EOG.N,Energy,45
HYLN.N,Industrials,46
AMWL.N,Health Care,47
CNX.N,Energy,48
GCI.N,Consumer Discretionary,49
MRO.N,Energy,50
SHCR.OQ,Health Care,51
GSL.N,Industrials,52
TXN.OQ,Technology,53
MRNA.OQ,Health Care,54
MPLN.N,Health Care,55
PXD.N,Energy,56
HLX.N,Energy,57
TWOU.OQ,Consumer Discretionary,58
CLF.N,Basic Materials,59
ACN.N,Industrials,60
MRK.N,Health Care,61
PAA.OQ,Energy,62
ELAN.N,Health Care,63
AMAT.OQ,Technology,64
SNDL.OQ,Health Care,65
PDCE.OQ,Energy,66
AEVA.N,Technology,67
PUMP.N,Energy,68
M.N,Consumer Discretionary,69
HOUS.N,Real Estate,70
MUR.N,Energy,71
SLDP.OQ,Energy,72
VIPS.N,Consumer Discretionary,73
CTSH.OQ,Technology,74
PDD.OQ,Technology,75
CRK.N,Energy,76
OPK.OQ,Health Care,77
TPC.N,Industrials,78
REGN.OQ,Health Care,79
DNMR.N,Industrials,80
GOGL.OQ,Industrials,81
RIOT.OQ,Financials,82
RXT.OQ,Technology,83
CHRD.OQ,Energy,84
FL.N,Consumer Discretionary,85
DAC.N,Industrials,86
STLD.OQ,Basic Materials,87
VSAT.OQ,Telecommunications,88
NEO.OQ,Health Care,89
CBRE.N,Real Estate,90
SWN.N,Energy,91
CLNE.OQ,Consumer Discretionary,92
FLGT.OQ,Health Care,93
TSLA.OQ,Consumer Discretionary,94
GIII.OQ,Consumer Discretionary,95
HLTH.OQ,Health Care,96
ODP.OQ,Consumer Discretionary,97
CDNA.OQ,Health Care,98
CHS.N,Consumer Discretionary,99
HPE.N,Technology,100
BFLY.N,Health Care,101
AN.N,Consumer Discretionary,102
KSS.N,Consumer Discretionary,103
GPRO.OQ,Consumer Discretionary,104
JBLU.OQ,Consumer Discretionary,105
HZO.N,Consumer Discretionary,106
LPI.N,Energy,107
ZUMZ.OQ,Consumer Discretionary,108
NEM.N,Basic Materials,109
MATX.N,Industrials,110
EBIX.OQ,Technology,111
BLDR.N,Industrials,112
GEO.N,Real Estate,113
NRGV.N,Energy,114
AKAM.OQ,Technology,115
TALO.N,Energy,116
MTTR.OQ,Technology,117
X.N,Basic Materials,118
DOW.N,Basic Materials,119
SATS.OQ,Telecommunications,120
CLOV.OQ,Health Care,121
LUMN.N,Telecommunications,122
MYGN.OQ,Health Care,123
CF.N,Basic Materials,124
SKIL.N,Industrials,125
HCC.N,Energy,126
TDUP.OQ,Consumer Discretionary,127
SLGC.OQ,Health Care,128
ADM.N,Consumer Staples,129
CLVT.N,Technology,130
INTC.OQ,Technology,131
ET.N,Energy,132
KR.N,Consumer Staples,133
PACK.N,Industrials,134
RS.N,Basic Materials,135
DDD.N,Technology,136
LIN.N,Basic Materials,137
ON.OQ,Technology,138
OUST.N,Technology,139
SFIX.OQ,Consumer Discretionary,140
PRDO.OQ,Consumer Discretionary,141
PLAB.OQ,Technology,142
INVA.OQ,Health Care,143
PR.N,Energy,144
MDRX.OQ,Technology,145
ETWO.N,Technology,146
VCSA.OQ,Consumer Discretionary,147
ASRT.OQ,Health Care,148
MCS.N,Consumer Discretionary,149
DD.N,Industrials,150
DCP.N,Energy,151
FOXA.OQ,Consumer Discretionary,152
FSLY.N,Technology,153
DHR.N,Health Care,154
RIG.N,Energy,155
SB.N,Industrials,156
ARLP.OQ,Energy,157
ADV.OQ,Industrials,158
AZTA.OQ,Health Care,159
DXC.N,Technology,160
ACHR.N,Industrials,161
FISV.OQ,Industrials,162
ABG.N,Consumer Discretionary,163
EBS.N,Health Care,164
FCEL.OQ,Energy,165
ARCH.N,Energy,166
IP.N,Basic Materials,167
RPAY.OQ,Industrials,168
EWTX.OQ,Health Care,169
ITOS.OQ,Health Care,170
VSH.N,Technology,171
ALIT.N,Industrials,172
TX.N,Basic Materials,173
TNK.N,Industrials,174
ETD.N,Consumer Discretionary,175
MGNI.OQ,Technology,176
MARA.OQ,Financials,177
MCHP.OQ,Technology,178
HSC.N,Utilities,179
NAT.N,Industrials,180
PAGP.OQ,Energy,181
QDEL.OQ,Health Care,182
LKQ.OQ,Consumer Discretionary,183
APA.OQ,Energy,184
RYAM.N,Basic Materials,185
ABBV.N,Health Care,186
LPG.N,Industrials,187
TBLA.OQ,Technology,188
MMM.N,Industrials,189
AVT.OQ,Technology,190
FDX.N,Industrials,191
HD.N,Consumer Discretionary,192
BGS.N,Consumer Staples,193
SAVE.N,Consumer Discretionary,194
OFIX.OQ,Health Care,195
BV.N,Industrials,196
LYB.N,Basic Materials,197
GILD.OQ,Health Care,198
DLTR.OQ,Consumer Discretionary,199
CCRN.OQ,Industrials,200
WRK.N,Industrials,201
AMZN.OQ,Consumer Discretionary,202
ABCL.OQ,Health Care,203
PRM.N,Basic Materials,204
NEX.N,Energy,205
RBBN.OQ,Telecommunications,206
INTU.OQ,Technology,207
THO.N,Consumer Discretionary,208
CRNC.OQ,Technology,209
HOLX.OQ,Health Care,210
ABT.N,Health Care,211
GPRE.OQ,Energy,212
KHC.OQ,Consumer Staples,213
AVGO.OQ,Technology,214
SM.N,Energy,215
TBPH.OQ,Health Care,216
JHG.N,Financials,217
VSTO.N,Consumer Discretionary,218
BMY.N,Health Care,219
DRQ.N,Energy,220
NVTS.OQ,Technology,221
ASC.N,Industrials,222
TSN.N,Consumer Staples,223
IPI.N,Basic Materials,224
ACI.N,Consumer Staples,225
AHCO.OQ,Health Care,226
COIN.OQ,Financials,227
SMTC.OQ,Technology,228
PARA.OQ,Consumer Discretionary,229
HOOD.OQ,Financials,230
GT.OQ,Consumer Discretionary,231
EHAB.N,Health Care,232
SBLK.OQ,Industrials,233
LMT.N,Industrials,234
AMN.N,Industrials,235
TWST.OQ,Health Care,236
DDI.OQ,Consumer Discretionary,237
FATE.OQ,Health Care,238
CALM.OQ,Consumer Staples,239
ANGI.OQ,Consumer Discretionary,240
PG.N,Consumer Staples,241
XNCR.OQ,Health Care,242
CWK.N,Real Estate,243
ATRA.OQ,Health Care,244
URBN.OQ,Consumer Discretionary,245
HP.N,Energy,246
GES.N,Consumer Discretionary,247
AOSL.OQ,Technology,248
DM.N,Industrials,249
WLK.N,Basic Materials,250
CTVA.N,Consumer Staples,251
RCM.OQ,Health Care,252
LBRT.N,Energy,253
DBI.N,Consumer Discretionary,254
OC.N,Industrials,255
KRO.N,Industrials,256
CVS.N,Consumer Staples,257
CMRE.N,Industrials,258
MHK.N,Industrials,259
SPCE.N,Industrials,260
GLNG.OQ,Energy,261
NVST.N,Health Care,262
