Instrument,ICB Industry name,Rank
LUMN.N,Telecommunications,1
WBD.OQ,Consumer Discretionary,2
OPEN.OQ,Real Estate,3
PCG.N,Utilities,4
THC.N,Health Care,5
CLF.N,Basic Materials,6
MLCO.OQ,Consumer Discretionary,7
ADT.N,Industrials,8
MAT.OQ,Consumer Discretionary,9
JWN.N,Consumer Discretionary,10
STX.OQ,Technology,11
UBER.N,Consumer Discretionary,12
NET.N,Technology,13
NWL.OQ,Consumer Discretionary,14
IRM.N,Real Estate,15
DVA.N,Health Care,16
FWONA.OQ,Consumer Discretionary,17
FYBR.OQ,Telecommunications,18
CCK.N,Industrials,19
CVNA.N,Consumer Discretionary,20
ETRN.N,Energy,21
HBI.N,Consumer Discretionary,22
IHRT.OQ,Consumer Discretionary,23
IRDM.OQ,Telecommunications,24
SPR.N,Industrials,25
PEN.N,Health Care,26
UNP.N,Industrials,27
CSX.OQ,Industrials,28
CSTM.N,Basic Materials,29
DM.N,Industrials,30
SCCO.N,Basic Materials,31
PARA.OQ,Consumer Discretionary,32
LVS.N,Consumer Discretionary,33
CNK.N,Consumer Discretionary,34
VNET.OQ,Technology,35
COTY.N,Consumer Discretionary,36
WY.N,Real Estate,37
USAC.N,Energy,38
ARCE.OQ,Consumer Discretionary,39
TRGP.N,Energy,40
SWN.N,Energy,41
EDR.N,Consumer Discretionary,42
CWK.N,Real Estate,43
LYB.N,Basic Materials,44
SGRY.OQ,Health Care,45
BALL.N,Industrials,46
EBAY.OQ,Consumer Discretionary,47
NOVA.N,Utilities,48
PLTR.N,Technology,49
NS.N,Energy,50
OXY.N,Energy,51
HAS.OQ,Consumer Discretionary,52
MPLX.N,Energy,53
AVTR.N,Health Care,54
CC.N,Basic Materials,55
GEVO.OQ,Energy,56
TROX.N,Basic Materials,57
SEE.N,Industrials,58
BKD.N,Health Care,59
SBH.N,Consumer Discretionary,60
MMP.N,Energy,61
CRK.N,Energy,62
CCI.N,Real Estate,63
NXST.OQ,Consumer Discretionary,64
INFA.N,Technology,65
HRT.N,Industrials,66
WIX.OQ,Technology,67
EXPE.OQ,Consumer Discretionary,68
BL.OQ,Technology,69
MTN.N,Consumer Discretionary,70
OKE.N,Energy,71
CPB.N,Consumer Staples,72
ALNY.OQ,Health Care,73
XPO.N,Industrials,74
RRC.N,Energy,75
ARMK.N,Consumer Discretionary,76
INFN.OQ,Telecommunications,77
KOS.N,Energy,78
OPK.OQ,Health Care,79
WOW.N,Telecommunications,80
OVV.N,Energy,81
PTCT.OQ,Health Care,82
AM.N,Energy,83
ENR.N,Consumer Staples,84
PRVA.OQ,Health Care,85
PTON.OQ,Consumer Discretionary,86
WES.N,Energy,87
WSC.OQ,Industrials,88
HLT.N,Consumer Discretionary,89
CTLT.N,Health Care,90
NRG.N,Utilities,91
PTLO.OQ,Consumer Discretionary,92
APP.OQ,Technology,93
NSC.N,Industrials,94
OPCH.OQ,Health Care,95
SE.N,Technology,96
PLUG.OQ,Energy,97
NXPI.OQ,Technology,98
EVA.N,Energy,99
CNX.N,Energy,100
QSR.N,Consumer Discretionary,101
WOOF.OQ,Consumer Discretionary,102
IGT.N,Consumer Discretionary,103
GIS.N,Consumer Staples,104
FTCH.N,Consumer Discretionary,105
POST.N,Consumer Staples,106
NKTR.OQ,Health Care,107
ACI.N,Consumer Staples,108
TGNA.N,Consumer Discretionary,109
QTWO.N,Technology,110
ZTS.N,Health Care,111
DNB.N,Technology,112
LYFT.OQ,Consumer Discretionary,113
MANU.N,Consumer Discretionary,114
IHS.N,Telecommunications,115
BERY.N,Industrials,116
MCHP.OQ,Technology,117
SPOT.N,Consumer Discretionary,118
IP.N,Basic Materials,119
LCID.OQ,Consumer Discretionary,120
AES.N,Utilities,121
SPB.N,Consumer Staples,122
MELI.OQ,Consumer Discretionary,123
AXTA.N,Industrials,124
AMRS.OQ,Basic Materials,125
GPS.N,Consumer Discretionary,126
AA.N,Basic Materials,127
AY.OQ,Utilities,128
MPLN.N,Health Care,129
CNM.N,Industrials,130
HWM.N,Industrials,131
FXLV.N,Consumer Discretionary,132
ST.N,Industrials,133
OLN.N,Basic Materials,134
TIGO.OQ,Telecommunications,135
NCR.N,Technology,136
GEO.N,Real Estate,137
THRY.OQ,Consumer Discretionary,138
CEQP.N,Energy,139
LPI.N,Energy,140
K.N,Consumer Staples,141
KSS.N,Consumer Discretionary,142
ALTR.OQ,Technology,143
LFST.OQ,Health Care,144
SBLK.OQ,Industrials,145
CHDN.OQ,Consumer Discretionary,146
DTE.N,Utilities,147
HOUS.N,Real Estate,148
CCL.N,Consumer Discretionary,149
CMS.N,Utilities,150
BYD.N,Consumer Discretionary,151
MMC.N,Financials,152
ET.N,Energy,153
TRIP.OQ,Consumer Discretionary,154
OUT.N,Real Estate,155
OI.N,Industrials,156
AMRX.N,Health Care,157
MAR.OQ,Consumer Discretionary,158
SPLK.OQ,Technology,159
WKHS.OQ,Industrials,160
SYY.N,Consumer Staples,161
NI.N,Utilities,162
SHW.N,Industrials,163
DNA.N,Health Care,164
OLPX.OQ,Consumer Staples,165
FCX.N,Basic Materials,166
WMB.N,Energy,167
BTU.N,Energy,168
LW.N,Consumer Staples,169
FE.N,Utilities,170
KMI.N,Energy,171
ZS.OQ,Technology,172
PENN.OQ,Consumer Discretionary,173
HAYW.N,Industrials,174
CWENa.N,Utilities,175
GME.N,Consumer Discretionary,176
CRI.N,Consumer Discretionary,177
CLVT.N,Technology,178
PKG.N,Industrials,179
X.N,Basic Materials,180
HLMN.OQ,Industrials,181
IT.N,Technology,182
SRPT.OQ,Health Care,183
ZD.OQ,Technology,184
CEIX.N,Energy,185
INSM.OQ,Health Care,186
LTH.N,Consumer Discretionary,187
DAL.N,Consumer Discretionary,188
ACHC.OQ,Health Care,189
CZR.OQ,Consumer Discretionary,190
NFLX.OQ,Consumer Discretionary,191
MODG.N,Consumer Discretionary,192
SMG.N,Basic Materials,193
SHC.OQ,Health Care,194
F.N,Consumer Discretionary,195
M.N,Consumer Discretionary,196
FCEL.OQ,Energy,197
CANO.N,Health Care,198
IRWD.OQ,Health Care,199
T.N,Telecommunications,200
URI.N,Industrials,201
SUM.N,Industrials,202
LEVI.N,Consumer Discretionary,203
GDEN.OQ,Consumer Discretionary,204
STNE.OQ,Industrials,205
RRR.OQ,Consumer Discretionary,206
KDP.OQ,Consumer Staples,207
ELAN.N,Health Care,208
ALKS.OQ,Health Care,209
AFYA.OQ,Consumer Discretionary,210
ALIT.N,Industrials,211
LILA.OQ,Telecommunications,212
AMCX.OQ,Consumer Discretionary,213
TSE.N,Industrials,214
SKIN.OQ,Consumer Staples,215
BCO.N,Industrials,216
CAG.N,Consumer Staples,217
HLLY.N,Consumer Discretionary,218
WHR.N,Consumer Discretionary,219
QRTEA.OQ,Consumer Discretionary,220
AVAH.OQ,Health Care,221
VVV.N,Basic Materials,222
CLOV.OQ,Health Care,223
KMB.N,Consumer Staples,224
ACM.N,Industrials,225
ASO.OQ,Consumer Discretionary,226
PAA.OQ,Energy,227
SHCR.OQ,Health Care,228
AGTI.N,Health Care,229
BAND.OQ,Technology,230
MCG.N,Consumer Discretionary,231
AWK.N,Utilities,232
TH.OQ,Industrials,233
COHR.OQ,Technology,234
HESM.N,Energy,235
RCL.N,Consumer Discretionary,236
PPL.N,Utilities,237
NVST.N,Health Care,238
AMGN.OQ,Health Care,239
EFX.N,Industrials,240
BGS.N,Consumer Staples,241
NYT.N,Consumer Discretionary,242
FOXA.OQ,Consumer Discretionary,243
ABCL.OQ,Health Care,244
HA.OQ,Consumer Discretionary,245
NFG.N,Utilities,246
VFC.N,Consumer Discretionary,247
RYAN.N,Financials,248
BKI.N,Technology,249
SPH.N,Consumer Discretionary,250
GDDY.N,Technology,251
HL.N,Basic Materials,252
LIVN.OQ,Health Care,253
EVCM.OQ,Technology,254
GILD.OQ,Health Care,255
NCLH.N,Consumer Discretionary,256
TALO.N,Energy,257
FOLD.OQ,Health Care,258
RIG.N,Energy,259
BIP.N,Utilities,260
LAD.N,Consumer Discretionary,261
ZG.OQ,Real Estate,262
POR.N,Utilities,263
HAL.N,Energy,264
SPCE.N,Industrials,265
WMG.OQ,Consumer Discretionary,266
PR.N,Energy,267
MCW.N,Consumer Discretionary,268
EQT.N,Energy,269
NVTA.N,Health Care,270
EXC.OQ,Utilities,271
PPC.OQ,Consumer Staples,272
PAGP.OQ,Energy,273
MERC.OQ,Basic Materials,274
GLW.N,Technology,275
GPRE.OQ,Energy,276
CLX.N,Consumer Staples,277
GT.OQ,Consumer Discretionary,278
SRE.N,Utilities,279
QS.N,Consumer Discretionary,280
LEG.N,Consumer Discretionary,281
UAL.OQ,Consumer Discretionary,282
BSX.N,Health Care,283
RDNT.OQ,Health Care,284
LNT.OQ,Utilities,285
HES.N,Energy,286
